order_id,refund_type,refund_reason
20594828119,1,2
20584648174,1,7
20610884260,1,14
20612412633,1,2
20610340460,1,3
20617603019,1,3
20608440240,1,7
20617679890,1,2
20608401937,1,7
20617794196,1,3
20617602815,1,3
20617729041,1,8
20617705522,1,3
20617611100,1,7
20617841292,1,14
20617859391,1,3
20617766910,1,3
20617849384,1,7
20608735053,1,7
20617886189,1,8
20617874562,1,5
20617853713,1,3
20617888889,1,3
20617886936,1,2
20617839541,1,7
20617696737,1,3
20617756073,1,3
20617913844,1,2
20617896850,1,3
20617860585,1,3
20588787031,1,7
20601860388,1,7
20618005568,1,2
20618020120,1,3
20617863209,1,3
20618071274,1,3
20618015225,1,3
20617884323,1,3
20617790824,1,3
20618087888,1,2
20617614323,1,7
20618101577,1,3
20618160369,1,2
20617946729,1,3
20618178053,1,2
20617939094,1,8
20618175258,1,3
20618188019,1,3
20618242242,1,3
20618316863,1,2
20618320426,1,6
20618296654,1,2
20618351563,1,14
20618162628,1,7
20618305475,1,3
20618301166,1,3
20617933955,1,3
20618380865,1,3
20618359181,1,3
20618415209,1,3
20619279231,1,3
20619341420,1,8
20619381559,1,3
20619462812,1,8
20619562421,1,3
20619721723,1,3
20619809050,1,12
20619880985,2,7
20619871483,2,7
20619611087,1,7
20619506649,1,7
20619492450,3,7
20619477809,3,7
20619374957,1,7
20619359666,1,7
3435987243,2,7
3435984823,1,7
3435942521,1,7
20593604526,3,7
20593666750,3,7
20563925460,3,7
20562738672,3,7
20620038669,2,7
20619002848,3,7
20618098949,2,7
20622816128,1,2
20618127616,1,8
20612027648,1,3
20618914816,1,12
20618486912,1,3
20618387200,1,3
20617929856,1,3
20618448768,1,8
20618962560,1,14
20618710912,1,3
20617710464,1,3
20617708288,1,7
20618113664,1,8
20618327936,1,7
20618083200,1,8
20618914560,1,8
20618915200,1,8
20618949120,1,8
20618970240,1,8
20619126528,1,6
20619143808,1,2
20607779712,1,7
20619189248,1,3
20617858176,1,7
20619228800,1,7
20618918016,1,8
20591252608,1,7
20619013504,1,3
20601657216,1,3
20619087360,1,8
20619394432,1,12
20619179648,1,7
20619045248,1,8
20618417280,1,7
20619477632,1,12
20619254144,1,8
20619456512,1,3
20619058048,1,7
20619377536,1,8
20617623680,1,8
20619554304,1,3
20618529280,1,8
20619517056,1,8
20618058624,1,8
20619652096,1,2
20619619328,1,3
20618940672,1,8
20619650304,1,3
20619160064,1,3
20619737216,1,3
20619819008,1,2
20619863424,1,3
20619814528,1,7
20618991104,1,7
20619902592,1,2
20619580672,1,8
20602840448,1,7
20619928192,1,2
20619740032,1,8
20619441280,1,8
20619874048,1,3
20619992704,1,3
20618933376,1,3
20620017536,1,2
20620018816,1,2
20620026496,1,2
20620046464,1,2
20619123328,1,8
20619250048,1,8
20619075072,1,3
20620415872,1,8
20620416384,1,8
20621122432,1,3
20620774144,1,8
20619585664,1,3
20617771136,1,3
20621169152,1,3
20619135232,1,7
20619466880,1,3
20619203584,1,3
20621250560,1,3
20621244288,1,2
20618913408,1,8
20620031744,1,3
20621296896,1,8
